ID	EN	Example or notes
button_friendshipWithChara	Дружба с {1}	Friendship with Tammy 30 or greater
button_battle	Битва!	
button_ok	Окей	
button_cancel	Отмена	
button_tooStressedOut	Сильное утомление	
button_icon_flirt	Флирт с {1}	
button_icon_groundhog	Из прошлой жизни	
button_icon_seen	Ранее увиденное	
button_giftTooSoon	Слишком рано, чтобы дарить подарок	
button_req_lessThan	Нужно {1} меньше чем {2}	Need Rebellion less than 50
button_req_equalOrGreater	Нужно {1} {2} или выше	Need Empathy 50 or greater
button_eventsRespawned	Все события обновились.	
button_eventsRemaining	{1} событий осталось	
button_collectiblesRemaining	{1} находок осталось	
button_bossRespawned	Появилось новое событие босса	
button_bossRemaining	Осталось событие босса	
button_eventsWillRespawn	Событие обновляются в Тишину	
button_bind	Нажмите кнопку, чтобы назначить	
button_customPronouns_order1	они|она|он	Order custom gender strings with they|she|him first
button_customPronouns_order2	|её	"Then their|her|his and them|her|him and theirs|hers|his (all contain ""|her"")"
button_customPronouns_customize	Другое	
button_customPronouns_tooltip	Изменить местоимения ({1})	Modify custom pronouns (they/them)
button_system	Система	
button_friends	Друзья	
button_memories	Воспоминания	
button_skills	Черты характера	
button_music_muted	(Заглушено)	
button_music_noSong	(Музыка не играет)	
button_main_continue	продолжить	
button_main_newLife	начать новую жизнь	
button_main_newGame	новая игра	
button_main_load	загрузить	
button_ending_goWith	Идти с ними.	
button_ending_rollCredits	Пропустить титры.	
button_on	[вкл]	
button_off	[выкл]	
button_done	принять	
button_save	сохранить	
button_load	загрузить	
button_settings	настройки	
button_credits	титры	
button_gallery	галерея	
button_main_menu	главное меню	
button_tutorial	обучение	
button_report_a_bug	сообщить о баге	
button_content_warnings	предупреждения	
button_debug_settings	настройки отладки	
button_debug_commands	команды отладки	
button_next_song	следующая песня	
button_gear	снаряжение	
button_collectibles	находки	
button_open_savegame_folder	папка сохранений	
button_clear_past_memories	стереть прошлую память	
button_clear_all_user_data	стереть все данные	
button_delete_save	удалить сейвы	
button_general	основные	
button_graphics	графика	
button_audio	аудио	
button_controls	управление	
button_debug	отладка	
button_reset	сбросить	
button_illustrations	иллюстрации	
button_endings	концовки	
button_backgrounds	фоны	
button_cards	карты	
button_cheevos	ачивки	
button_next	следующая	
button_previous	предыдущая	
button_give_up	сдаться	
button_okay	окей	
button_start_your_new_life	начать новую жизнь	
button_endings_gallery	галерея концовок	
button_quit	выйти	
		
		
		
text_system	система	
text_debug_enabled	отладка включена	
text_now_playing	сейчас играет	
text_no_skill_changes	без изменений навыков	
text_friends	друзья	
text_goal	цель	
text_loading...	Загрузка...	
text_she	она	
text_he	он	
		
		
		
picker_title	Выбрать находку	
perk_newPerk	Новый перк!	
perk_title	{1} - Уровень {2}	Combat - Level 3
deck_title_memories	Воспоминания	
deck_subtitle_memories	{1} карт для использования в испытаниях	20 cards for use in challenges
deck_title_gear	Снаряжение	
deck_subtitle_gear	{1} из {2} экипировано	2 of 3 equipped
deck_button_pets	Только выбранные питомцы	
deck_title_collectibles	Находки	
deck_subtitle_collectibles_none	Ищите вещи на земле во время исследования	
deck_subtitle_collectibles	{1} подарок или одноразовая находка (дубликаты суммируются)	
deck_popup_gearBattle	Нельзя сменить снаряжение в битве	
deck_popup_gearEvent	Нельзя сменить снаряжение в событии	
		
		
		
		
		
		
unlock_job	Открыто {1} в {2}	Unlocked Babysitting in The Living Quarters
unlock_ultimate	Увеличена награда за {1}	\+ Kudos for Babysitting
unlock_dating	Начали встречаться {1}!	
unlock_fact	Изучено: {1} - {2}	
		
none	Ничего	
unknown	Неизвестно	
questionMark	?	For unknown values eg Congruence's age
		
		
		
		
		
		
		
		
		
		
		
		
popup_selectCard	Сначала выбрать карту.	
popup_warning	Внимание!	
popup_home_battle	Нельзя отправиться домой в битве	
popup_home_story	Нельзя отправиться домой в событии	
popup_home_confirm	Вы уверены, что готовы отправиться домой?	
popup_stuckPlayer	Обнаружен застрявший игрок, телепорт ко входу. Извините!	
popup_pickName	Какое имя?	
popup_shortName	Имя слишком короткое!	
		
		
		
		
		
		
		
		
		
		
skillperk_none	Ничего	
skillperk_gearslots2	Доп слот снаряжения	
skillperk_gearslots3	Доп слот снаряжения	
skillperk_gearslots4	Доп слот снаряжения	
		
		
		
skill_empathy	Эмпатия	
skill_persuasion	Убеждение	
skill_creativity	Творчество	
skill_bravery	Смелость	
skill_reasoning	Логика	
skill_organization	Собранность	
skill_engineering	Инженерия	
skill_biology	Биология	
skill_toughness	Стойкость	
skill_perception	Внимание	
skill_combat	Навыки боя	
skill_animals	Ксенология	
skill_kudos	Похвала	
skill_stress	Стресс	
skill_rebellion	Мятежность	
skillNeg_rebellion	Лояльность	
		
skillDesc_empathy	Понимание других людей	
skillDesc_persuasion	Харизма, позволяющая руководить людьми и выступать на публике	
skillDesc_creativity	Художественные способности и умение генерировать идеи	
skillDesc_bravery	Умение справляться с социальными и опасными ситуациями	
skillDesc_reasoning	Навыки решения проблем и общие знания	
skillDesc_organization	Приверженность аккуратности и организованности	
skillDesc_engineering	Знание машин, физики, математикми и программирования	
skillDesc_biology	Знание растений, биохимии и человеческого тела	
skillDesc_toughness	Физическая сила и выносливость	
skillDesc_perception	Умение находить предметы и быть незаметным	
skillDesc_combat	Навыки тактики и оружия	
skillDesc_animals	Знание ксенофауны, охоты и скотоводства	
skillDesc_kudos	Валюта, основанная на репутации	
skillDesc_stress	Физическое и психическое истощение	
skillDesc_rebellion	Отношения со взрослыми и правительством колонии	
		
skillSnippet1_empathy	У тебя врожденное понимание других, и	
skillSnippet1_persuasion	Люди склонны слушать тебя, делать то, что ты говоришь, и	
skillSnippet1_creativity	Тебе нравится мастерить, и	
skillSnippet1_bravery	Ничто не сможет напугать тебя... или, по крайней мере, ты справляешься со страхом лучше, чем большинство! И	
skillSnippet1_reasoning	Ты интуитивно умён, и	
skillSnippet1_organization	Всё, что твоё, хранится аккуратно и упорядоченно, даже содержимое твоей гололадони, и	
skillSnippet1_engineering	Твоя склонность к математике и машинам придаёт тебе уверенности, и	
skillSnippet1_biology	Природа открывает тебе свои секреты, и	
skillSnippet1_toughness	Ты можешь выдержать удар или падение кирпича на ногу, не чертыхаясь, и	
skillSnippet1_perception	У тебя талант находить скрытое или оставаться незамеченным, когда это нужно. И	
skillSnippet1_combat	Ты хорош в драке, и	
skillSnippet1_animals	Иные существа для тебя не загадка, и	
skillSnippet1_kudos	Ты богат, и	
skillSnippet1_stress	Ты слишком вымотан, и	
skillSnippet1_rebellion	Ты бунтарь, и	
		
skillSnippet2_empathy	твои лучшие друзья говорят, что ты отличый слушатель.	
skillSnippet2_persuasion	еще лучше умеешь выигрывать споры.	
skillSnippet2_creativity	в вопросах творчества ты вне конкуренции.	
skillSnippet2_bravery	ты почти никогда не боишься. Почти.	
skillSnippet2_reasoning	логические головоломки легки с твоими способностями к рассуждению.	
skillSnippet2_organization	тебе не приходилось слышать напоминаний о том, что нужно убраться в своей койке.	
skillSnippet2_engineering	у тебя хорошие оценки на уроках инженерии.	
skillSnippet2_biology	у тебя талант к садоводству.	
skillSnippet2_toughness	ты крепкий ребёнок.	
skillSnippet2_perception	твой острый взор замечает то, что не могут другие люди.	
skillSnippet2_combat	говорят, что ты хорошо обращаешься с любым оружием.	
skillSnippet2_animals	ты знаешь очень многое о животных.	
skillSnippet2_kudos	ты получаешь много похвалы.	
skillSnippet2_stress	ты перегружен работой.	
skillSnippet2_rebellion	ты ненавидишь систему.	
		
skillSecond_command	Второй Администратор.	
skillSecond_garrison	Второй Офицер Службы Безопасности.	
skillSecond_engineering	Второй Инженер.	
skillSecond_geoponics	Второй Культиватор.	
skillSecond_quarters	Второй Стюард.	
skillSecond_expeditions	Второй Геодезист.	
skillSecond_leader	Губернатор Колонии Вертумна.	
		
		
skillperk_gearslot	Слот снаряжения	
skillperk_petslot	Слот питомца	
skillperk_healthsocial	Здоровье в Социальных Битвах	
skillperk_healthmental	Здоровье в Ментальных Битвах	
skillperk_healthphysical	Здоровье в Физических Битвах	
		
		
		
memchange_food	Пропитание колонии	
memchange_defense	Защита колонии	
memchange_rexbuild	Строительный проект Рекса	
memchange_tammyconfidence	Уверенность Темми	
memchange_shimmerhelp	Лекарство от Шиммера	
memchange_tanghelp	Помощь Тангент	
memchange_mutinyvotes	Голоса Совета	
memchange_petted_hopeye	Связь с попрыглазом	
memchange_petted_vriki	Связь с врики	
memchange_petted_unisaur	Связь с единозавром	
		
		
story_continueButtonText	...	
story_doneButtonText	Принять	
story_endingNextButtonText	Но что насчёт...	
story_doneButtonBeforeJobBattleText	За работу!	
story_doneButtonBeforeBattleText	Вызов!	
story_doneButtonTimePassesText	Проходит время...	
story_jobTitle	Выбрать занятие на месяц:	
story_unknownName	они	Fallback when character unknown / bff etc memory not set
		
		
		
		
		
charas_welcome	Добро пожаловать	
charas_date	{1} месяц, {2}, {3} лет	Month 3 of Quiet, age 11
charas_date_noage	{1} месяц, {2}	Month 3 of Quiet
charas_date_age	{1} лет	Age 11
charas_about	О персонаже	
charas_she	Она	
charas_he	Он	
charas_yearsOld	Тебе {1} лет, и	You're 10 years old, and an average kid.
charas_noPerk	ты обычный ребенок.	You're 10 years old, and an average kid.
charas_age	Возраст:	
charas_birthday	День рождения:	
charas_enhancement	Расширение:	
charas_dating	В отношениях:	
charas_likes	Любит:	
charas_dislikes	Не любит:	
charas_datingChara	Встречается с {1}	Dating Tammy
charas_datingYou	Встречается с тобой!	
charas_friendship	Дружба {1} / {2}	Friendship 46 / 100
charas_rename	Переименовать {1}	Rename Sol
